,Month,Driver_id,Total_income,Total_km,Gender,Age,Vetek
88,04/2015,706,739472.7037081249,8748.15835718904,M,51.7,0.3
89,04/2015,829,368895.82371793635,7235.9111918256995,M,35.3,0.5
90,04/2015,719,3232426.8984962157,7146.832682893565,M,32.6,1.0
91,04/2015,935,311150.3573407438,7175.8119218906195,M,38.9,0.3
92,04/2015,68,5051045.000268431,7176.884847254565,F,35.8,1.0
93,04/2015,815,2163118.7482131436,8838.891561765706,,64.2,0.3
94,04/2015,747,131658.3330337541,8955.958284882587,M,43.6,0.7
95,04/2015,798,596606.8884959242,8498.688927935593,M,35.3,0.4
96,04/2015,865,221996.22710233342,8703.725879307187,M,58.5,0.3
97,04/2015,399,174728.27141112872,9005.851179347754,M,53.1,0.9
98,04/2015,509,1504089.6646869252,8811.734778829572,M,46.7,0.5
99,04/2015,308,442439.0774234467,12176.591199902014,M,48.1,0.9
100,04/2015,502,510879.48943963676,8286.164252099683,M,61.5,7.9
101,04/2015,81,1926298.8633837213,7980.532008634113,M,42.4,14.4
102,04/2015,814,2417643.0460039726,11876.940086070494,M,33.1,18.7
103,04/2015,666,1710606.7572454847,8572.174283351827,M,35.3,8.7
104,04/2015,205,5031926.96646821,10153.029880843967,M,56.6,9.9
105,04/2015,759,1641171.4323345837,9886.583434997698,M,44.5,3.4
106,04/2015,96,7050471.349224336,10262.975829157911,M,37.2,9.4
107,04/2015,671,213224.26548136314,7724.718612793713,M,61.4,16.8
108,04/2015,100,572636.7579725872,9861.672378367342,M,38.1,17.2
109,04/2015,321,161975.55796636268,10510.741970122355,M,,10.1
110,04/2015,602,199293.20830688486,9219.117859878585,M,37.3,17.8
111,04/2015,453,5430559.24973285,8327.984225492055,F,60.6,5.4
112,04/2015,396,246264.57043323875,11993.378467590723,M,33.1,12.5
113,04/2015,113,563937.7255244317,9565.005352330561,M,,16.9
114,04/2015,988,4951703.838372542,7966.1400604293585,M,32.9,11.3
115,04/2015,956,2231715.758735072,8748.67866997037,M,65.2,15.6
116,04/2015,59,1993223.834334878,7952.872073128007,M,46.9,8.1
117,04/2015,593,832277.7430305232,9824.676062749648,M,43.4,15.5
118,04/2015,10,245187.79745072036,9685.95918778764,M,45.5,6.4
119,04/2015,196,246092.80726450472,7734.309685558262,M,46.2,4.3
120,04/2015,38,1140458.6133091697,9087.171730532373,,51.3,5.9
121,04/2015,625,387009.90354138706,8838.593057244883,M,57.7,13.8
122,04/2015,570,400868.09122290177,8582.257164002214,M,47.1,16.8
123,04/2015,745,891953.5628006824,10084.984408827364,M,51.3,15.9
124,04/2015,764,82170.62918473585,7741.973672068137,M,47.3,15.0
125,04/2015,66,608823.9296999054,7848.352722416084,M,40.0,18.9
126,04/2015,84,433144.7975984306,8445.911742550667,,36.5,18.8
127,04/2015,462,583135.3220089875,7978.941577533487,,39.3,10.3
128,04/2015,952,156728.7403319467,8249.434919467458,M,56.4,4.4
129,04/2015,970,1633088.2511002456,7802.820874784756,M,34.0,11.4
130,04/2015,333,729175.1787613579,9609.49714753318,M,50.1,8.4
131,04/2015,274,164140.43565441633,8770.28270098672,M,63.7,8.6
132,04/2015,981,437778.46327059856,11737.313446022159,M,62.2,1.6
133,04/2015,110,152738.17901379737,10606.605178623595,M,59.4,15.7
134,04/2015,383,842141.7611620781,16342.807116709295,M,37.5,15.6
135,04/2015,542,287664.19002158736,11421.214618757684,M,35.2,7.8
136,04/2015,787,403275.73260334815,9359.486953177233,M,59.9,12.3
137,04/2015,57,747105.9922075319,9038.063614244751,M,65.6,16.7
138,04/2015,412,6231438.825874163,8005.486100121937,M,59.3,4.6
139,04/2015,177,3860077.138139324,10676.19323275648,M,41.0,1.9
140,04/2015,560,2934676.5471229744,11427.22037008292,M,41.8,12.4
141,04/2015,398,105885.9275180834,7310.77678376707,M,52.0,4.8
142,04/2015,916,653225.9892290463,7808.208334452692,M,65.1,18.0
143,04/2015,965,2901111.557098551,13217.776124006577,M,65.8,5.6
144,04/2015,746,175610.8272668556,11261.487937070375,M,48.2,1.6
145,04/2015,912,1338000.6121092443,11151.257695218736,M,55.6,16.5
146,04/2015,257,335207.1214711305,8822.105381703484,M,36.1,4.5
147,04/2015,727,4045843.5531802443,9465.041214994215,M,53.5,16.6
148,04/2015,144,1832862.9012548842,8795.230039797863,M,43.3,7.4
149,04/2015,164,14176676.945043592,11277.727268017976,M,39.8,10.5
150,04/2015,48,849557.80315473,10705.679144710637,M,63.4,11.9
151,04/2015,872,184662.9949058791,7159.69390265056,M,50.2,11.6
152,04/2015,391,7688304.771177747,10429.357906760017,M,47.8,2.2
153,04/2015,703,85518.9754076853,9064.21249856662,M,,7.8
154,04/2015,504,2770877.4347004336,9166.985473342305,M,40.0,1.8
155,04/2015,876,267297.17957541114,8608.700612143606,M,34.7,5.8
156,04/2015,69,1690927.0852450943,9606.02898492966,M,57.1,11.5
157,04/2015,736,963440.5184493444,8699.426218639017,M,43.1,13.3
158,04/2015,899,725114.9516992504,9807.910017948027,M,58.6,10.2
159,04/2015,219,429614.21699498873,9063.416275371885,M,39.4,17.3
160,04/2015,451,1241732.321101478,14781.653547536365,M,47.1,10.2
161,04/2015,407,709278.5585802771,8947.284380267129,M,46.4,2.4
162,04/2015,735,868554.4260228118,7428.907645339932,M,54.1,4.8
163,04/2015,249,995088.8260992422,9995.73033203737,M,60.9,8.2
164,04/2015,145,258636.2399582141,8656.370980649577,M,49.4,7.5
165,04/2015,12,2639964.5044583194,9380.04054860759,M,59.0,15.6
166,04/2015,724,274801.7287824177,7041.819306677981,F,47.8,16.0
167,04/2015,728,3020501.6430925536,10519.744280779685,M,57.5,2.9
168,04/2015,948,322859.5596321913,9175.447855378046,M,37.5,3.6
169,04/2015,464,323725.03233894345,11578.404063678967,M,58.4,6.4
170,04/2015,278,2590541.240636024,7662.045759246485,,47.4,10.8
171,04/2015,89,800923.5609907645,14198.945965231549,M,42.9,7.5
172,04/2015,124,99744.98943894201,9761.106108910719,M,35.2,9.5
173,04/2015,185,2188315.0693544513,8581.304073609286,M,35.5,14.5
174,04/2015,514,461909.6907931148,9013.469431707881,M,45.0,12.9
175,04/2015,651,342844.578829618,8141.751587254054,M,39.2,8.3
176,04/2015,669,118699.09057004433,9022.243200949157,M,52.6,13.9
177,04/2015,97,646344.3226310643,10627.625012658427,M,62.2,11.0
178,04/2015,924,1153257.2406222662,6748.4102447809855,M,64.5,11.3
179,04/2015,323,1318560.1799713336,9586.03877633818,F,48.5,8.9
180,04/2015,643,1280212.995157694,9297.014177704428,M,35.7,16.0
181,04/2015,890,379820.9734866007,8465.931233242452,M,55.4,17.6
182,04/2015,929,407292.07907294197,7432.868448243755,M,41.7,4.4
183,04/2015,670,5138537.100307366,9288.107963021665,M,36.1,8.3
184,04/2015,181,782193.579286117,9030.194967732737,M,36.8,10.0
185,04/2015,963,342680.48168675374,8660.96623933788,M,50.0,10.8
186,04/2015,997,501527.2148765786,8090.818797761999,M,61.6,10.5
187,04/2015,858,600773.5446746375,14564.74131425249,M,38.2,1.5
188,04/2015,403,281749.9195956911,7487.869337606564,M,45.4,7.8
189,04/2015,572,2267145.2844455363,9019.994958941055,M,,7.6
190,04/2015,754,627475.1118282317,10489.478203401932,M,55.8,11.8
191,04/2015,72,19580294.144281432,10778.979355479012,M,46.7,11.5
192,04/2015,283,435857.2078976014,11743.178009252053,M,57.9,9.6
193,04/2015,705,1873620.8634955075,7723.67781557506,M,46.5,1.7
194,04/2015,983,96749.48977222035,6586.8707673652425,M,36.0,14.7
195,04/2015,305,820474.505497339,9648.127228514786,M,63.1,4.2
196,04/2015,857,230561.52982556837,9529.57790117673,M,37.8,3.3
197,04/2015,74,2531216.0799698425,11753.606869722802,M,37.2,15.0
198,04/2015,824,405012.4852566823,8703.971853714149,M,56.3,2.9
199,04/2015,231,3493336.85068318,9146.728040155856,,42.2,17.8
200,04/2015,130,686665.9133892768,8739.052090013498,M,59.5,15.0
201,04/2015,248,905336.9460722144,9751.947491621171,M,36.4,14.8
202,04/2015,149,1347386.3499616506,11066.203016024227,M,52.6,5.5
203,04/2015,329,574427.2418205619,10007.62865396676,M,43.4,4.5
204,04/2015,582,81519.8557953335,8580.289022313991,M,46.1,4.4
205,04/2015,328,3237328.465628518,6898.1657219581475,M,39.4,11.4
206,04/2015,779,174357.8585767766,9782.076932308402,M,,18.0
207,04/2015,807,1721425.2440307268,8499.055499089078,M,,12.8
208,04/2015,821,1208125.7157037286,8370.01490014295,M,55.6,4.4
209,04/2015,366,312383.9808588504,9408.903139775679,M,42.9,7.5
210,04/2015,433,478515.02007175,10176.572486022511,M,37.5,8.6
211,04/2015,371,3095087.3392568086,8081.617358339597,M,52.2,5.6
212,04/2015,384,279379.6489197733,8468.581623079617,M,43.5,2.5
213,04/2015,632,2628764.8170393417,7538.9690811423,M,35.3,14.1
214,04/2015,861,3474393.0713517363,7895.16182940105,M,48.3,12.6
215,04/2015,65,2605230.036654939,9545.239070603535,,46.8,15.7
216,04/2015,877,181433.6232334795,7770.529415032132,M,40.8,16.7
217,04/2015,244,2240251.0390947466,10702.618028328136,M,40.5,3.1
218,04/2015,863,665946.1773950033,9992.131579764899,M,48.7,17.6
219,04/2015,350,889608.7341675821,8182.146508278451,M,52.6,18.5
220,04/2015,160,665003.5801914106,7698.225127096222,M,34.9,18.1
221,04/2015,45,111048.73006835688,8182.254190485164,M,40.4,11.4
222,04/2015,497,2782396.5991102327,9955.34222668555,,46.3,11.7
223,04/2015,237,5947584.226729309,7933.576076510467,M,39.1,10.7
224,04/2015,9,405143.421926574,11497.350830980393,M,50.3,8.9
225,04/2015,172,3505460.392676208,8216.777472552307,M,55.4,10.6
226,04/2015,918,261543.00380017632,8002.054542685278,M,45.0,2.6
227,04/2015,950,433471.51711996313,7899.071639861898,M,34.7,6.3
228,04/2015,134,353527.42982984235,8264.694558240883,M,64.7,6.2
229,04/2015,140,2405966.8052095827,8468.718968497064,M,,14.0
230,04/2015,238,373113.75426245277,8595.564905330311,M,61.8,3.6
231,04/2015,567,1768132.076455295,11768.15328871885,M,49.1,15.0
232,04/2015,146,730099.6270771469,10763.227348818298,M,38.1,5.6
233,04/2015,519,211201.11361355337,7725.2714767880225,,42.7,1.7
234,04/2015,428,3092345.1225061635,11799.528133333108,M,37.0,13.8
235,04/2015,612,915145.665456332,7542.848127951967,M,56.8,10.3
236,04/2015,153,556304.685199756,8282.547331102256,M,32.3,18.2
237,04/2015,592,452395.0650744929,9790.655100087486,M,52.6,12.7
238,04/2015,713,302898.8775513808,9556.351987172013,M,45.8,18.2
239,04/2015,933,2984161.591770926,11148.47394877814,M,48.6,14.2
240,04/2015,686,1440075.2342908166,10971.036551176387,M,40.8,5.5
241,04/2015,331,779513.4580740284,10640.543715272897,M,36.7,9.1
242,04/2015,885,195436.4678153735,9484.22151592007,M,62.8,6.5
243,04/2015,842,3303805.670604094,7214.961739792771,M,48.5,6.3
244,04/2015,951,3609401.2082501403,8883.615102582497,M,65.1,10.5
245,04/2015,597,1987640.2159517377,11978.411280144455,M,60.0,13.1
246,04/2015,93,1767279.7639338912,11767.141686606787,F,38.4,14.3
247,04/2015,402,358739.1512224737,8649.39998393086,M,35.4,15.1
248,04/2015,435,1438600.4320961004,8473.693959463624,F,60.4,17.1
249,04/2015,751,5920487.128346784,7601.09236926308,M,55.1,6.5
250,04/2015,733,449624.75430291105,8408.54589265287,M,52.2,13.6
251,04/2015,121,513348.0827264595,7671.047981263232,M,58.7,18.4
252,04/2015,760,405238.5849417073,8474.15145600525,M,47.8,11.1
253,04/2015,372,218265.47254342376,8298.63452999996,M,33.0,14.3
254,04/2015,441,609297.526944645,6843.361252502044,M,51.6,2.3
255,04/2015,270,3254409.105111889,7579.515877970532,M,40.7,10.1
256,04/2015,260,81782.61489978428,6921.302627668441,M,34.6,1.1
257,04/2015,442,325141.2389067405,9708.52946340311,M,61.5,13.5
258,04/2015,19,141002.71955996798,8940.862167431967,M,,12.4
259,04/2015,218,1096611.7506583775,9876.015966197252,M,60.8,12.0
260,04/2015,1000,225591.72271261268,8547.221301979389,M,45.2,4.0
261,04/2015,967,610561.8336099733,11550.973412241667,M,56.6,2.4
262,04/2015,413,519601.38556188263,9074.396302266712,M,47.8,1.0
263,04/2015,780,10598434.605273748,9010.799183698351,M,51.8,1.9
264,04/2015,538,3735565.4574321215,10113.667742807407,,44.3,13.5
265,04/2015,255,2654786.1880119964,10401.7825398417,M,50.9,15.2
266,04/2015,211,538408.6500235614,10372.14514159138,M,36.7,8.5
267,04/2015,465,2330459.860112142,8746.024464331287,M,62.0,17.2
268,04/2015,583,501738.49986160186,6653.773630945626,M,39.0,8.2
269,04/2015,489,3842306.439436358,12929.041496697919,M,39.7,17.4
270,04/2015,353,168928.24244015137,7268.3380263425615,M,65.8,5.3
271,04/2015,415,578282.4437844235,8470.181161975255,M,62.5,7.1
272,04/2015,594,202872.8200538223,11224.254047150283,F,44.6,12.7
273,04/2015,957,363028.2442329396,9058.523305322424,M,55.4,5.3
274,04/2015,394,311698.7278151389,8042.201141463423,M,56.1,5.1
275,04/2015,674,2254923.087511021,10713.908471219538,M,61.2,16.6
276,04/2015,646,990386.9306570765,11288.821741975731,M,35.1,10.2
277,04/2015,972,3753532.1350302175,11729.559681324761,M,65.6,1.6
278,04/2015,791,379122.7454953839,8123.6852483618195,M,60.0,8.0
279,04/2015,78,1589090.2018717807,8148.176400427866,M,36.8,7.9
280,04/2015,548,383350.9151151426,9096.533958690197,M,52.2,12.5
281,04/2015,536,435215.41504340107,9180.482377317012,M,55.4,3.4
282,04/2015,621,150109.3393304344,8836.131828681719,M,54.8,1.7
283,04/2015,762,1927420.7891700345,11118.147164948843,M,47.3,14.9
284,04/2015,516,564614.4232946491,8924.795563850425,M,65.6,18.0
285,04/2015,216,393546.5203625424,8559.161556764679,M,36.4,14.5
286,04/2015,635,260977.06406640002,7207.08658600328,M,55.3,14.8
287,04/2015,926,2075733.5119560813,8227.557585504233,M,43.2,14.0
288,04/2015,135,714538.1997807651,8189.72632734634,,,10.5
289,04/2015,387,329534.0556846742,9674.89855118428,M,46.8,16.0
290,04/2015,925,695142.969105807,10952.636141766057,M,57.3,5.5
291,04/2015,85,560825.4327605208,12226.17565575484,M,38.7,16.7
292,04/2015,586,309107.62576992647,10978.696111975309,M,32.2,7.8
293,04/2015,571,1301985.966337215,8276.298116996957,M,53.2,13.8
294,04/2015,855,3346034.3457800862,7605.620835132757,M,64.2,15.2
295,04/2015,685,8232387.505479296,9819.933140430823,M,47.0,7.8
296,04/2015,63,1665276.4701769555,7228.087523371418,M,61.6,12.5
297,04/2015,264,876465.9402679864,11486.03236267277,M,59.1,12.7
298,04/2015,701,2724688.1968710218,7899.689362554198,M,37.3,10.7
299,04/2015,73,135452.82331919507,8649.300481785815,M,48.6,14.7
300,04/2015,478,476750.99979828927,8978.646234955673,M,35.7,7.8
301,04/2015,661,12524548.81337826,10668.161247883188,M,57.1,1.7
302,04/2015,228,342208.0757677111,11776.183298488506,M,48.1,9.5
303,04/2015,309,3795728.264055619,9242.84626312461,M,38.3,14.6
304,04/2015,382,503441.91214920493,11563.111491438302,M,34.4,10.9
305,04/2015,914,3037689.089948415,8199.645408877348,M,54.5,6.4
306,04/2015,170,455743.229249927,15580.104545962931,M,34.1,16.2
307,04/2015,808,1584098.2277282062,14142.577550983768,M,45.2,4.6
308,04/2015,279,1360919.1864175505,7930.469885923973,M,44.8,3.9
309,04/2015,852,2679383.565571943,8755.43248730504,F,37.4,13.3
310,04/2015,258,647289.9008156946,9003.895377290148,M,43.5,6.3
311,04/2015,920,3950063.151854128,12475.236782977556,,64.9,14.6
312,04/2015,167,394190.5111303263,11429.29481875808,M,37.0,6.7
313,04/2015,229,1057262.7011870462,9104.55170102745,M,55.1,7.9
314,04/2015,293,577317.0536569695,8876.727415579137,M,44.9,10.8
315,04/2015,569,337184.85401183675,9281.168717334582,M,39.7,13.3
316,04/2015,39,351697.42590134905,9301.312226916776,M,58.6,1.1
317,04/2015,562,504901.301927199,8957.255117228708,M,43.4,10.0
318,04/2015,819,403968.0290718504,8816.104127109804,M,33.6,15.2
319,04/2015,652,248324.43612744074,7959.304122089461,,43.2,1.1
320,04/2015,827,184623.7195865478,8946.653311772247,M,65.0,3.2
321,04/2015,915,1726296.4374306835,10986.457557865824,M,47.0,13.0
322,04/2015,35,16336861.5096394,13264.20027049353,M,53.3,4.0
323,04/2015,358,97563.9062124988,7137.091268733202,M,35.8,18.3
324,04/2015,867,120125.94093568009,10506.594141347383,M,53.5,10.1
325,04/2015,979,488340.46578278183,9063.815895379641,M,64.3,9.9
326,04/2015,599,518061.2287716691,7829.3494698311015,M,,18.4
327,04/2015,470,1551890.398624553,8027.529636818587,M,45.0,3.5
328,04/2015,903,646054.8627663119,10017.2992736578,M,,16.7
329,04/2015,420,523339.2938487977,8006.600562534352,M,56.3,5.9
330,04/2015,150,2563131.417812303,12235.267333394868,M,,10.2
331,04/2015,631,1236655.4528710367,11766.631288639126,M,43.4,6.2
332,04/2015,616,717326.0450655379,7365.342289739467,M,61.4,8.8
333,04/2015,373,712280.3531800198,8401.427816967582,M,60.9,5.9
334,04/2015,577,337438.0644351489,8380.793262613342,M,42.5,15.7
335,04/2015,901,3677130.6304797945,9274.860570279903,M,56.5,9.0
336,04/2015,55,7387508.285169949,12946.734255292828,M,34.8,2.7
337,04/2015,908,324532.9150198817,9853.178059913635,M,39.6,15.1
338,04/2015,883,481020.0354869053,10917.21673833102,M,,15.3
339,04/2015,522,580300.9865613818,9745.108112992975,M,52.2,14.7
340,04/2015,811,602637.0469967744,7879.783076191709,M,,18.6
341,04/2015,137,603061.3013022657,11783.453646434975,M,58.3,17.6
342,04/2015,600,671430.0234120584,7758.286844860699,M,38.4,17.2
343,04/2015,673,323971.12396520725,12081.377152219682,M,49.1,5.2
344,04/2015,575,493352.80147710023,9417.724960016323,M,32.9,10.9
345,04/2015,469,1018306.8601667098,10374.386691182186,M,64.1,10.3
346,04/2015,698,418897.46909734426,10657.237823829004,M,62.6,5.0
347,04/2015,245,17436163.37814983,13524.859836725185,M,60.9,13.2
348,04/2015,363,1345849.2948411165,8258.590825024434,M,45.2,1.3
349,04/2015,911,324408.8448458771,12284.360241592454,M,53.9,13.9
350,04/2015,343,1545347.7740206681,8497.243145080722,M,63.1,16.4
351,04/2015,886,2416402.2941823634,9788.063937247318,M,59.7,10.7
352,04/2015,262,552863.080736118,10035.663669360776,M,64.6,14.7
353,04/2015,222,646443.5735465136,7925.169384028215,M,39.2,11.6
354,04/2015,731,3871746.869822239,11642.956941694803,,35.2,7.5
355,04/2015,31,245299.16587596232,8320.263124901127,,36.7,16.8
356,04/2015,32,2900343.4157477985,9365.519211566958,M,55.5,2.4
357,04/2015,545,284996.5570668407,7634.205028522504,M,42.4,3.8
358,04/2015,553,4085510.751742886,9801.939135552699,M,35.3,1.8
359,04/2015,284,395071.707522719,8283.251858799425,M,40.5,14.4
360,04/2015,94,1504147.7641824887,7649.1900656963135,M,,9.2
361,04/2015,472,277109.1129563763,11655.193385045177,,40.5,8.5
362,04/2015,748,497153.401441113,9572.89545930065,F,40.7,14.3
363,04/2015,3,2369800.413940658,8357.073931133322,M,49.3,4.7
364,04/2015,676,727176.5714324529,10998.338099940265,M,43.8,17.0
365,04/2015,233,685590.0917199294,9298.780109772772,M,38.2,12.8
366,04/2015,919,1100114.5024775995,8738.519237345201,M,34.6,11.6
367,04/2015,54,148650.54803115095,7807.953012855228,M,57.6,1.3
368,04/2015,95,425867.5003462365,8419.105296803182,M,55.1,14.3
369,04/2015,818,3393294.624615136,8343.821912137706,M,,4.6
370,04/2015,349,599859.0662474246,8718.875358870158,M,63.1,16.7
371,04/2015,224,115468.45733961978,8576.323411124162,M,42.2,9.8
372,04/2015,526,1164280.8528193699,9691.216756293265,M,62.7,18.8
373,04/2015,613,1407878.962543987,13890.30111144346,M,50.9,2.5
374,04/2015,845,2539030.7066090633,9185.593171467945,M,,5.5
375,04/2015,894,405020.1545715333,7958.962892303105,M,47.3,18.1
376,04/2015,419,371359.0046563535,10962.020770372454,M,,18.2
377,04/2015,707,149943.11191615928,8396.149200409205,M,56.4,12.6
378,04/2015,426,3696168.905891362,9102.119386469343,M,43.0,7.2
379,04/2015,427,4648977.959602681,9932.31855071659,M,48.1,3.4
380,04/2015,978,185256.3028755834,8367.864153142044,M,40.8,8.0
381,04/2015,610,1457723.8762964476,10314.626207165818,M,64.5,8.9
382,04/2015,76,809602.8153874404,6654.087514180704,,46.8,11.5
383,04/2015,629,814525.8664238283,9741.301085885632,M,46.4,15.7
384,04/2015,326,106965.27658918058,7125.145203017227,M,32.6,1.6
385,04/2015,875,288146.5482026498,12090.710934852437,,42.4,16.3
386,04/2015,409,306328.044343298,9098.403140958331,M,45.0,14.6
387,04/2015,940,3749105.0383342924,8150.460453050014,M,53.9,9.6
388,04/2015,642,629368.38891932,8417.966814110665,M,43.3,8.4
389,04/2015,14,2281641.4555472927,11388.092812761894,M,56.5,1.7
390,04/2015,129,285368.4986749811,9676.470884854823,M,35.6,11.3
391,04/2015,474,398406.50445732026,8687.57472088972,M,56.2,13.1
392,04/2015,312,2608259.1732050832,7510.069966478475,M,61.2,13.4
393,04/2015,708,785651.9836889113,6721.279711771707,M,40.4,1.6
394,04/2015,30,581653.7864473084,9592.79468654488,M,46.1,9.2
395,04/2015,161,311446.4644479512,8082.379376202873,M,51.3,2.9
396,04/2015,839,947680.3927603791,8714.211800494084,M,36.7,1.6
397,04/2015,400,364182.68715706805,9608.84988563291,,58.4,10.9
